Bx_uT,By_uT,Bz_uT
1.668000000000000114e+02,-6.728999999999999773e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.735000000000000000e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.737999999999999545e+02,3.921608999999999924e+03
1.676999999999999886e+02,-6.737999999999999545e+02,3.920884000000000015e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.919431999999999789e+03
1.683000000000000114e+02,-6.739500000000000455e+02,3.919431999999999789e+03
1.680000000000000000e+02,-6.743999999999999773e+02,3.921126000000000204e+03
1.672500000000000000e+02,-6.735000000000000000e+02,3.921126000000000204e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.922092999999999847e+03
1.681490000000000009e+02,-6.733490000000000464e+02,3.919916000000000167e+03
1.680000000000000000e+02,-6.730499999999999545e+02,3.921126000000000204e+03
1.680000000000000000e+02,-6.736499999999999773e+02,3.920157999999999902e+03
1.680000000000000000e+02,-6.736499999999999773e+02,3.919916000000000167e+03
1.684499999999999886e+02,-6.739500000000000455e+02,3.921126000000000204e+03
1.675500000000000114e+02,-6.736499999999999773e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.736499999999999773e+02,3.921851000000000113e+03
1.670999999999999943e+02,-6.736499999999999773e+02,3.922335999999999785e+03
1.673990000000000009e+02,-6.728999999999999773e+02,3.920157999999999902e+03
1.678499999999999943e+02,-6.739500000000000455e+02,3.921367999999999938e+03
1.669499999999999886e+02,-6.742500000000000000e+02,3.920884000000000015e+03
1.680000000000000000e+02,-6.728999999999999773e+02,3.920641000000000076e+03
1.685999999999999943e+02,-6.739500000000000455e+02,3.920884000000000015e+03
1.670999999999999943e+02,-6.733490000000000464e+02,3.919916000000000167e+03
1.676999999999999886e+02,-6.735000000000000000e+02,3.920641000000000076e+03
1.678499999999999943e+02,-6.736499999999999773e+02,3.919916000000000167e+03
1.678499999999999943e+02,-6.739500000000000455e+02,3.920157999999999902e+03
1.681490000000000009e+02,-6.728999999999999773e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.728999999999999773e+02,3.920398999999999887e+03
1.687500000000000000e+02,-6.728999999999999773e+02,3.921126000000000204e+03
1.684499999999999886e+02,-6.736499999999999773e+02,3.922092999999999847e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.921851000000000113e+03
1.683000000000000114e+02,-6.728999999999999773e+02,3.921608999999999924e+03
1.680000000000000000e+02,-6.737999999999999545e+02,3.921608999999999924e+03
1.683000000000000114e+02,-6.733490000000000464e+02,3.920398999999999887e+03
1.685999999999999943e+02,-6.733490000000000464e+02,3.920398999999999887e+03
1.680000000000000000e+02,-6.732000000000000455e+02,3.920157999999999902e+03
1.672500000000000000e+02,-6.732000000000000455e+02,3.919673999999999978e+03
1.678499999999999943e+02,-6.732000000000000455e+02,3.920884000000000015e+03
1.678499999999999943e+02,-6.732000000000000455e+02,3.920641000000000076e+03
1.673990000000000009e+02,-6.728999999999999773e+02,3.920641000000000076e+03
1.685999999999999943e+02,-6.736499999999999773e+02,3.919916000000000167e+03
1.678499999999999943e+02,-6.733490000000000464e+02,3.922092999999999847e+03
1.678499999999999943e+02,-6.733490000000000464e+02,3.921608999999999924e+03
1.672500000000000000e+02,-6.728999999999999773e+02,3.920884000000000015e+03
1.676999999999999886e+02,-6.730499999999999545e+02,3.921851000000000113e+03
1.683000000000000114e+02,-6.737999999999999545e+02,3.922820000000000164e+03
1.676999999999999886e+02,-6.736499999999999773e+02,3.920398999999999887e+03
1.669499999999999886e+02,-6.733490000000000464e+02,3.921126000000000204e+03
1.673990000000000009e+02,-6.735000000000000000e+02,3.922092999999999847e+03
1.673990000000000009e+02,-6.737999999999999545e+02,3.922335999999999785e+03
1.684499999999999886e+02,-6.737999999999999545e+02,3.921126000000000204e+03
1.672500000000000000e+02,-6.735000000000000000e+02,3.921851000000000113e+03
1.675500000000000114e+02,-6.733490000000000464e+02,3.920398999999999887e+03
1.675500000000000114e+02,-6.733490000000000464e+02,3.922577999999999975e+03
1.675500000000000114e+02,-6.727500000000000000e+02,3.923304000000000087e+03
1.683000000000000114e+02,-6.732000000000000455e+02,3.921851000000000113e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.921367999999999938e+03
1.676999999999999886e+02,-6.728999999999999773e+02,3.921126000000000204e+03
1.670999999999999943e+02,-6.740990000000000464e+02,3.922335999999999785e+03
1.683000000000000114e+02,-6.743999999999999773e+02,3.921367999999999938e+03
1.680000000000000000e+02,-6.739500000000000455e+02,3.921126000000000204e+03
1.675500000000000114e+02,-6.736499999999999773e+02,3.920157999999999902e+03
1.680000000000000000e+02,-6.727500000000000000e+02,3.922335999999999785e+03
1.678499999999999943e+02,-6.737999999999999545e+02,3.921126000000000204e+03
1.687500000000000000e+02,-6.739500000000000455e+02,3.920641000000000076e+03
1.670999999999999943e+02,-6.735000000000000000e+02,3.920157999999999902e+03
1.680000000000000000e+02,-6.732000000000000455e+02,3.920641000000000076e+03
1.680000000000000000e+02,-6.730499999999999545e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.740990000000000464e+02,3.921126000000000204e+03
1.684499999999999886e+02,-6.733490000000000464e+02,3.920884000000000015e+03
1.684499999999999886e+02,-6.730499999999999545e+02,3.921851000000000113e+03
1.678499999999999943e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.680000000000000000e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.920641000000000076e+03
1.683000000000000114e+02,-6.733490000000000464e+02,3.922335999999999785e+03
1.681490000000000009e+02,-6.727500000000000000e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.732000000000000455e+02,3.921608999999999924e+03
1.681490000000000009e+02,-6.728999999999999773e+02,3.920641000000000076e+03
1.681490000000000009e+02,-6.732000000000000455e+02,3.921608999999999924e+03
1.673990000000000009e+02,-6.733490000000000464e+02,3.921851000000000113e+03
1.681490000000000009e+02,-6.737999999999999545e+02,3.921851000000000113e+03
1.680000000000000000e+02,-6.735000000000000000e+02,3.921608999999999924e+03
1.680000000000000000e+02,-6.740990000000000464e+02,3.920398999999999887e+03
1.684499999999999886e+02,-6.728999999999999773e+02,3.922820000000000164e+03
1.675500000000000114e+02,-6.727500000000000000e+02,3.921608999999999924e+03
1.681490000000000009e+02,-6.732000000000000455e+02,3.921608999999999924e+03
1.672500000000000000e+02,-6.735000000000000000e+02,3.920398999999999887e+03
1.680000000000000000e+02,-6.733490000000000464e+02,3.921367999999999938e+03
1.672500000000000000e+02,-6.733490000000000464e+02,3.921126000000000204e+03
1.681490000000000009e+02,-6.737999999999999545e+02,3.921608999999999924e+03
1.675500000000000114e+02,-6.736499999999999773e+02,3.921608999999999924e+03
1.673990000000000009e+02,-6.727500000000000000e+02,3.921367999999999938e+03
1.673990000000000009e+02,-6.735000000000000000e+02,3.922092999999999847e+03
1.680000000000000000e+02,-6.733490000000000464e+02,3.922092999999999847e+03
1.687500000000000000e+02,-6.739500000000000455e+02,3.922335999999999785e+03
1.684499999999999886e+02,-6.732000000000000455e+02,3.921126000000000204e+03
1.672500000000000000e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.684499999999999886e+02,-6.735000000000000000e+02,3.919431999999999789e+03
1.673990000000000009e+02,-6.737999999999999545e+02,3.921608999999999924e+03
1.673990000000000009e+02,-6.733490000000000464e+02,3.921608999999999924e+03
1.675500000000000114e+02,-6.743999999999999773e+02,3.920398999999999887e+03
1.680000000000000000e+02,-6.735000000000000000e+02,3.921367999999999938e+03
1.683000000000000114e+02,-6.739500000000000455e+02,3.921126000000000204e+03
1.678499999999999943e+02,-6.736499999999999773e+02,3.922092999999999847e+03
1.683000000000000114e+02,-6.739500000000000455e+02,3.921608999999999924e+03
1.680000000000000000e+02,-6.732000000000000455e+02,3.920884000000000015e+03
1.680000000000000000e+02,-6.737999999999999545e+02,3.921126000000000204e+03
1.684499999999999886e+02,-6.733490000000000464e+02,3.922577999999999975e+03
1.675500000000000114e+02,-6.736499999999999773e+02,3.922335999999999785e+03
1.675500000000000114e+02,-6.737999999999999545e+02,3.920641000000000076e+03
1.680000000000000000e+02,-6.732000000000000455e+02,3.920398999999999887e+03
1.675500000000000114e+02,-6.730499999999999545e+02,3.921367999999999938e+03
1.683000000000000114e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.683000000000000114e+02,-6.735000000000000000e+02,3.921367999999999938e+03
1.680000000000000000e+02,-6.733490000000000464e+02,3.921851000000000113e+03
1.678499999999999943e+02,-6.742500000000000000e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.736499999999999773e+02,3.921367999999999938e+03
1.684499999999999886e+02,-6.736499999999999773e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.739500000000000455e+02,3.922335999999999785e+03
1.681490000000000009e+02,-6.736499999999999773e+02,3.920884000000000015e+03
1.685999999999999943e+02,-6.733490000000000464e+02,3.920398999999999887e+03
1.673990000000000009e+02,-6.732000000000000455e+02,3.921851000000000113e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.736499999999999773e+02,3.922092999999999847e+03
1.681490000000000009e+02,-6.730499999999999545e+02,3.921367999999999938e+03
1.678499999999999943e+02,-6.737999999999999545e+02,3.922335999999999785e+03
1.676999999999999886e+02,-6.740990000000000464e+02,3.921367999999999938e+03
1.678499999999999943e+02,-6.737999999999999545e+02,3.922335999999999785e+03
1.687500000000000000e+02,-6.732000000000000455e+02,3.922335999999999785e+03
1.688990000000000009e+02,-6.736499999999999773e+02,3.921851000000000113e+03
1.681490000000000009e+02,-6.733490000000000464e+02,3.922092999999999847e+03
1.680000000000000000e+02,-6.737999999999999545e+02,3.920884000000000015e+03
1.687500000000000000e+02,-6.736499999999999773e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.735000000000000000e+02,3.921367999999999938e+03
1.672500000000000000e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.673990000000000009e+02,-6.730499999999999545e+02,3.921126000000000204e+03
1.680000000000000000e+02,-6.740990000000000464e+02,3.920884000000000015e+03
1.678499999999999943e+02,-6.739500000000000455e+02,3.921851000000000113e+03
1.673990000000000009e+02,-6.735000000000000000e+02,3.920641000000000076e+03
1.683000000000000114e+02,-6.736499999999999773e+02,3.920157999999999902e+03
1.683000000000000114e+02,-6.740990000000000464e+02,3.921608999999999924e+03
1.678499999999999943e+02,-6.736499999999999773e+02,3.920641000000000076e+03
1.678499999999999943e+02,-6.735000000000000000e+02,3.920884000000000015e+03
1.683000000000000114e+02,-6.732000000000000455e+02,3.921126000000000204e+03
1.676999999999999886e+02,-6.733490000000000464e+02,3.920884000000000015e+03
1.683000000000000114e+02,-6.740990000000000464e+02,3.920641000000000076e+03
1.678499999999999943e+02,-6.728999999999999773e+02,3.922092999999999847e+03
1.684499999999999886e+02,-6.733490000000000464e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.743999999999999773e+02,3.922577999999999975e+03
1.681490000000000009e+02,-6.724500000000000455e+02,3.923304000000000087e+03
1.680000000000000000e+02,-6.736499999999999773e+02,3.921608999999999924e+03
1.688990000000000009e+02,-6.735000000000000000e+02,3.920398999999999887e+03
1.678499999999999943e+02,-6.733490000000000464e+02,3.920398999999999887e+03
1.680000000000000000e+02,-6.736499999999999773e+02,3.924271999999999935e+03
1.676999999999999886e+02,-6.735000000000000000e+02,3.922335999999999785e+03
1.676999999999999886e+02,-6.736499999999999773e+02,3.921608999999999924e+03
1.675500000000000114e+02,-6.740990000000000464e+02,3.922335999999999785e+03
1.680000000000000000e+02,-6.740990000000000464e+02,3.921851000000000113e+03
1.681490000000000009e+02,-6.740990000000000464e+02,3.921367999999999938e+03
1.681490000000000009e+02,-6.735000000000000000e+02,3.922092999999999847e+03
1.680000000000000000e+02,-6.733490000000000464e+02,3.922335999999999785e+03
1.672500000000000000e+02,-6.736499999999999773e+02,3.921851000000000113e+03
1.688990000000000009e+02,-6.739500000000000455e+02,3.922092999999999847e+03
1.678499999999999943e+02,-6.736499999999999773e+02,3.922092999999999847e+03
1.687500000000000000e+02,-6.740990000000000464e+02,3.921851000000000113e+03
1.685999999999999943e+02,-6.733490000000000464e+02,3.921126000000000204e+03
1.673990000000000009e+02,-6.737999999999999545e+02,3.922577999999999975e+03
1.687500000000000000e+02,-6.733490000000000464e+02,3.921851000000000113e+03
1.676999999999999886e+02,-6.740990000000000464e+02,3.921367999999999938e+03
1.685999999999999943e+02,-6.737999999999999545e+02,3.922577999999999975e+03
1.683000000000000114e+02,-6.736499999999999773e+02,3.922577999999999975e+03
1.673990000000000009e+02,-6.730499999999999545e+02,3.923304000000000087e+03
1.681490000000000009e+02,-6.735000000000000000e+02,3.923304000000000087e+03
1.675500000000000114e+02,-6.737999999999999545e+02,3.921608999999999924e+03
1.681490000000000009e+02,-6.736499999999999773e+02,3.922577999999999975e+03
1.681490000000000009e+02,-6.732000000000000455e+02,3.921608999999999924e+03
1.678499999999999943e+02,-6.736499999999999773e+02,3.921367999999999938e+03
1.687500000000000000e+02,-6.740990000000000464e+02,3.920884000000000015e+03
1.687500000000000000e+02,-6.736499999999999773e+02,3.922092999999999847e+03
1.681490000000000009e+02,-6.740990000000000464e+02,3.922335999999999785e+03
1.683000000000000114e+02,-6.742500000000000000e+02,3.922820000000000164e+03
1.673990000000000009e+02,-6.736499999999999773e+02,3.921608999999999924e+03
1.681490000000000009e+02,-6.740990000000000464e+02,3.922577999999999975e+03
1.680000000000000000e+02,-6.737999999999999545e+02,3.923304000000000087e+03
1.673990000000000009e+02,-6.739500000000000455e+02,3.920641000000000076e+03
1.669499999999999886e+02,-6.732000000000000455e+02,3.921608999999999924e+03
1.676999999999999886e+02,-6.739500000000000455e+02,3.922820000000000164e+03
1.685999999999999943e+02,-6.742500000000000000e+02,3.921126000000000204e+03
1.678499999999999943e+02,-6.737999999999999545e+02,3.922092999999999847e+03
1.681490000000000009e+02,-6.740990000000000464e+02,3.921367999999999938e+03
