Bx_uT,By_uT,Bz_uT
-9.525000000000000000e+01,-6.794899999999999807e+01,8.010200000000000387e+01
-9.540000000000000568e+01,-6.750000000000000000e+01,7.985899999999999466e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.794899999999999807e+01,8.082800000000000296e+01
-9.540000000000000568e+01,-6.750000000000000000e+01,8.155299999999999727e+01
-9.554999999999999716e+01,-6.734999999999999432e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.419899999999999807e+01,-6.734999999999999432e+01,8.106999999999999318e+01
-9.465000000000000568e+01,-6.825000000000000000e+01,8.131199999999999761e+01
-9.584999999999999432e+01,-6.809999999999999432e+01,8.203799999999999670e+01
-9.494899999999999807e+01,-6.765000000000000568e+01,8.106999999999999318e+01
-9.509999999999999432e+01,-6.690000000000000568e+01,8.106999999999999318e+01
-9.419899999999999807e+01,-6.750000000000000000e+01,8.131199999999999761e+01
-9.494899999999999807e+01,-6.809999999999999432e+01,8.082800000000000296e+01
-9.450000000000000000e+01,-6.750000000000000000e+01,8.131199999999999761e+01
-9.494899999999999807e+01,-6.704999999999999716e+01,8.155299999999999727e+01
-9.525000000000000000e+01,-6.809999999999999432e+01,8.179600000000000648e+01
-9.434999999999999432e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.479999999999999716e+01,-6.825000000000000000e+01,8.131199999999999761e+01
-9.434999999999999432e+01,-6.719899999999999807e+01,8.131199999999999761e+01
-9.494899999999999807e+01,-6.750000000000000000e+01,8.082800000000000296e+01
-9.465000000000000568e+01,-6.779999999999999716e+01,8.082800000000000296e+01
-9.509999999999999432e+01,-6.719899999999999807e+01,8.179600000000000648e+01
-9.540000000000000568e+01,-6.765000000000000568e+01,8.106999999999999318e+01
-9.419899999999999807e+01,-6.825000000000000000e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.734999999999999432e+01,8.034300000000000352e+01
-9.540000000000000568e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.450000000000000000e+01,-6.750000000000000000e+01,8.082800000000000296e+01
-9.465000000000000568e+01,-6.825000000000000000e+01,8.082800000000000296e+01
-9.494899999999999807e+01,-6.750000000000000000e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.779999999999999716e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.765000000000000568e+01,8.155299999999999727e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.058599999999999852e+01
-9.569899999999999807e+01,-6.750000000000000000e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.082800000000000296e+01
-9.525000000000000000e+01,-6.704999999999999716e+01,8.179600000000000648e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.228000000000000114e+01
-9.479999999999999716e+01,-6.750000000000000000e+01,8.155299999999999727e+01
-9.525000000000000000e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.450000000000000000e+01,-6.734999999999999432e+01,7.985899999999999466e+01
-9.465000000000000568e+01,-6.779999999999999716e+01,8.203799999999999670e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.058599999999999852e+01
-9.479999999999999716e+01,-6.825000000000000000e+01,8.179600000000000648e+01
-9.465000000000000568e+01,-6.854999999999999716e+01,8.155299999999999727e+01
-9.554999999999999716e+01,-6.734999999999999432e+01,8.179600000000000648e+01
-9.525000000000000000e+01,-6.765000000000000568e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.010200000000000387e+01
-9.509999999999999432e+01,-6.794899999999999807e+01,8.155299999999999727e+01
-9.450000000000000000e+01,-6.825000000000000000e+01,8.058599999999999852e+01
-9.479999999999999716e+01,-6.840000000000000568e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.750000000000000000e+01,8.276399999999999579e+01
-9.465000000000000568e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.525000000000000000e+01,-6.779999999999999716e+01,8.058599999999999852e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.010200000000000387e+01
-9.509999999999999432e+01,-6.719899999999999807e+01,8.131199999999999761e+01
-9.434999999999999432e+01,-6.734999999999999432e+01,8.082800000000000296e+01
-9.494899999999999807e+01,-6.825000000000000000e+01,8.155299999999999727e+01
-9.375000000000000000e+01,-6.794899999999999807e+01,8.131199999999999761e+01
-9.450000000000000000e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.479999999999999716e+01,-6.734999999999999432e+01,8.203799999999999670e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.203799999999999670e+01
-9.509999999999999432e+01,-6.809999999999999432e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.300499999999999545e+01
-9.479999999999999716e+01,-6.779999999999999716e+01,8.203799999999999670e+01
-9.465000000000000568e+01,-6.809999999999999432e+01,8.034300000000000352e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.252200000000000557e+01
-9.494899999999999807e+01,-6.854999999999999716e+01,8.179600000000000648e+01
-9.479999999999999716e+01,-6.765000000000000568e+01,8.034300000000000352e+01
-9.494899999999999807e+01,-6.825000000000000000e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.779999999999999716e+01,8.058599999999999852e+01
-9.465000000000000568e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.479999999999999716e+01,-6.734999999999999432e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.794899999999999807e+01,8.179600000000000648e+01
-9.465000000000000568e+01,-6.690000000000000568e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.869899999999999807e+01,8.082800000000000296e+01
-9.525000000000000000e+01,-6.704999999999999716e+01,8.082800000000000296e+01
-9.509999999999999432e+01,-6.794899999999999807e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.179600000000000648e+01
-9.479999999999999716e+01,-6.719899999999999807e+01,8.058599999999999852e+01
-9.540000000000000568e+01,-6.825000000000000000e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.479999999999999716e+01,-6.809999999999999432e+01,8.106999999999999318e+01
-9.434999999999999432e+01,-6.765000000000000568e+01,8.106999999999999318e+01
-9.494899999999999807e+01,-6.779999999999999716e+01,8.179600000000000648e+01
-9.494899999999999807e+01,-6.840000000000000568e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.252200000000000557e+01
-9.554999999999999716e+01,-6.809999999999999432e+01,8.228000000000000114e+01
-9.554999999999999716e+01,-6.809999999999999432e+01,8.228000000000000114e+01
-9.450000000000000000e+01,-6.779999999999999716e+01,8.179600000000000648e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.179600000000000648e+01
-9.494899999999999807e+01,-6.704999999999999716e+01,8.034300000000000352e+01
-9.540000000000000568e+01,-6.719899999999999807e+01,8.276399999999999579e+01
-9.465000000000000568e+01,-6.779999999999999716e+01,8.203799999999999670e+01
-9.494899999999999807e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.058599999999999852e+01
-9.509999999999999432e+01,-6.779999999999999716e+01,8.179600000000000648e+01
-9.479999999999999716e+01,-6.719899999999999807e+01,8.058599999999999852e+01
-9.465000000000000568e+01,-6.750000000000000000e+01,8.155299999999999727e+01
-9.509999999999999432e+01,-6.779999999999999716e+01,8.106999999999999318e+01
-9.540000000000000568e+01,-6.779999999999999716e+01,8.131199999999999761e+01
-9.554999999999999716e+01,-6.794899999999999807e+01,8.058599999999999852e+01
-9.450000000000000000e+01,-6.840000000000000568e+01,8.082800000000000296e+01
-9.450000000000000000e+01,-6.719899999999999807e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.825000000000000000e+01,8.179600000000000648e+01
-9.494899999999999807e+01,-6.750000000000000000e+01,8.155299999999999727e+01
-9.479999999999999716e+01,-6.854999999999999716e+01,8.106999999999999318e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.082800000000000296e+01
-9.509999999999999432e+01,-6.809999999999999432e+01,8.131199999999999761e+01
-9.509999999999999432e+01,-6.659999999999999432e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.825000000000000000e+01,8.179600000000000648e+01
-9.540000000000000568e+01,-6.704999999999999716e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.750000000000000000e+01,8.179600000000000648e+01
-9.525000000000000000e+01,-6.690000000000000568e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.155299999999999727e+01
-9.465000000000000568e+01,-6.809999999999999432e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.825000000000000000e+01,8.131199999999999761e+01
-9.465000000000000568e+01,-6.809999999999999432e+01,8.179600000000000648e+01
-9.554999999999999716e+01,-6.779999999999999716e+01,8.082800000000000296e+01
-9.540000000000000568e+01,-6.779999999999999716e+01,8.228000000000000114e+01
-9.404999999999999716e+01,-6.734999999999999432e+01,8.106999999999999318e+01
-9.540000000000000568e+01,-6.719899999999999807e+01,8.106999999999999318e+01
-9.540000000000000568e+01,-6.719899999999999807e+01,8.179600000000000648e+01
-9.525000000000000000e+01,-6.794899999999999807e+01,8.058599999999999852e+01
-9.479999999999999716e+01,-6.825000000000000000e+01,8.276399999999999579e+01
-9.494899999999999807e+01,-6.825000000000000000e+01,8.082800000000000296e+01
-9.540000000000000568e+01,-6.779999999999999716e+01,8.106999999999999318e+01
-9.509999999999999432e+01,-6.779999999999999716e+01,8.106999999999999318e+01
-9.509999999999999432e+01,-6.719899999999999807e+01,8.034300000000000352e+01
-9.540000000000000568e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.494899999999999807e+01,-6.825000000000000000e+01,8.058599999999999852e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.840000000000000568e+01,8.106999999999999318e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.690000000000000568e+01,8.082800000000000296e+01
-9.569899999999999807e+01,-6.825000000000000000e+01,8.228000000000000114e+01
-9.465000000000000568e+01,-6.719899999999999807e+01,8.106999999999999318e+01
-9.584999999999999432e+01,-6.719899999999999807e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.809999999999999432e+01,8.131199999999999761e+01
-9.465000000000000568e+01,-6.750000000000000000e+01,8.252200000000000557e+01
-9.479999999999999716e+01,-6.779999999999999716e+01,8.106999999999999318e+01
-9.479999999999999716e+01,-6.854999999999999716e+01,8.058599999999999852e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.010200000000000387e+01
-9.479999999999999716e+01,-6.765000000000000568e+01,8.106999999999999318e+01
-9.569899999999999807e+01,-6.765000000000000568e+01,8.155299999999999727e+01
-9.434999999999999432e+01,-6.704999999999999716e+01,8.082800000000000296e+01
-9.434999999999999432e+01,-6.809999999999999432e+01,8.034300000000000352e+01
-9.450000000000000000e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.750000000000000000e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.704999999999999716e+01,8.179600000000000648e+01
-9.465000000000000568e+01,-6.794899999999999807e+01,8.058599999999999852e+01
-9.540000000000000568e+01,-6.794899999999999807e+01,8.010200000000000387e+01
-9.434999999999999432e+01,-6.704999999999999716e+01,8.082800000000000296e+01
-9.569899999999999807e+01,-6.825000000000000000e+01,8.203799999999999670e+01
-9.479999999999999716e+01,-6.765000000000000568e+01,8.082800000000000296e+01
-9.554999999999999716e+01,-6.719899999999999807e+01,8.034300000000000352e+01
-9.434999999999999432e+01,-6.809999999999999432e+01,8.155299999999999727e+01
-9.525000000000000000e+01,-6.734999999999999432e+01,8.082800000000000296e+01
-9.509999999999999432e+01,-6.704999999999999716e+01,8.106999999999999318e+01
-9.450000000000000000e+01,-6.779999999999999716e+01,8.203799999999999670e+01
-9.525000000000000000e+01,-6.750000000000000000e+01,8.106999999999999318e+01
-9.554999999999999716e+01,-6.765000000000000568e+01,8.106999999999999318e+01
-9.525000000000000000e+01,-6.779999999999999716e+01,8.155299999999999727e+01
-9.450000000000000000e+01,-6.765000000000000568e+01,8.203799999999999670e+01
-9.479999999999999716e+01,-6.750000000000000000e+01,8.106999999999999318e+01
-9.509999999999999432e+01,-6.734999999999999432e+01,8.179600000000000648e+01
-9.540000000000000568e+01,-6.869899999999999807e+01,8.058599999999999852e+01
-9.494899999999999807e+01,-6.809999999999999432e+01,8.203799999999999670e+01
-9.450000000000000000e+01,-6.779999999999999716e+01,8.082800000000000296e+01
-9.525000000000000000e+01,-6.779999999999999716e+01,8.203799999999999670e+01
-9.540000000000000568e+01,-6.734999999999999432e+01,8.082800000000000296e+01
-9.494899999999999807e+01,-6.779999999999999716e+01,8.058599999999999852e+01
-9.569899999999999807e+01,-6.750000000000000000e+01,8.082800000000000296e+01
-9.479999999999999716e+01,-6.794899999999999807e+01,8.058599999999999852e+01
-9.569899999999999807e+01,-6.734999999999999432e+01,8.058599999999999852e+01
-9.600000000000000000e+01,-6.750000000000000000e+01,8.082800000000000296e+01
-9.569899999999999807e+01,-6.704999999999999716e+01,8.010200000000000387e+01
-9.554999999999999716e+01,-6.794899999999999807e+01,8.131199999999999761e+01
-9.569899999999999807e+01,-6.794899999999999807e+01,8.155299999999999727e+01
-9.434999999999999432e+01,-6.750000000000000000e+01,8.106999999999999318e+01
-9.525000000000000000e+01,-6.825000000000000000e+01,8.034300000000000352e+01
-9.465000000000000568e+01,-6.719899999999999807e+01,8.082800000000000296e+01
-9.479999999999999716e+01,-6.704999999999999716e+01,8.058599999999999852e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.082800000000000296e+01
-9.479999999999999716e+01,-6.840000000000000568e+01,8.058599999999999852e+01
-9.419899999999999807e+01,-6.794899999999999807e+01,8.155299999999999727e+01
-9.540000000000000568e+01,-6.779999999999999716e+01,8.058599999999999852e+01
-9.465000000000000568e+01,-6.765000000000000568e+01,8.058599999999999852e+01
-9.509999999999999432e+01,-6.825000000000000000e+01,8.179600000000000648e+01
-9.479999999999999716e+01,-6.825000000000000000e+01,8.131199999999999761e+01
-9.465000000000000568e+01,-6.794899999999999807e+01,8.010200000000000387e+01
-9.509999999999999432e+01,-6.779999999999999716e+01,8.228000000000000114e+01
-9.465000000000000568e+01,-6.750000000000000000e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.779999999999999716e+01,8.106999999999999318e+01
-9.465000000000000568e+01,-6.719899999999999807e+01,8.058599999999999852e+01
-9.554999999999999716e+01,-6.750000000000000000e+01,8.179600000000000648e+01
-9.465000000000000568e+01,-6.704999999999999716e+01,8.252200000000000557e+01
-9.479999999999999716e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.509999999999999432e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.554999999999999716e+01,-6.690000000000000568e+01,8.131199999999999761e+01
-9.540000000000000568e+01,-6.840000000000000568e+01,7.937600000000000477e+01
-9.434999999999999432e+01,-6.750000000000000000e+01,8.179600000000000648e+01
-9.540000000000000568e+01,-6.734999999999999432e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.779999999999999716e+01,8.155299999999999727e+01
-9.584999999999999432e+01,-6.719899999999999807e+01,8.155299999999999727e+01
-9.509999999999999432e+01,-6.690000000000000568e+01,8.058599999999999852e+01
-9.494899999999999807e+01,-6.809999999999999432e+01,8.034300000000000352e+01
-9.390000000000000568e+01,-6.825000000000000000e+01,8.106999999999999318e+01
-9.465000000000000568e+01,-6.704999999999999716e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.750000000000000000e+01,8.082800000000000296e+01
-9.494899999999999807e+01,-6.794899999999999807e+01,8.034300000000000352e+01
-9.569899999999999807e+01,-6.765000000000000568e+01,8.155299999999999727e+01
-9.509999999999999432e+01,-6.719899999999999807e+01,8.131199999999999761e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.494899999999999807e+01,-6.734999999999999432e+01,8.155299999999999727e+01
-9.540000000000000568e+01,-6.809999999999999432e+01,8.058599999999999852e+01
-9.509999999999999432e+01,-6.750000000000000000e+01,8.058599999999999852e+01
-9.554999999999999716e+01,-6.794899999999999807e+01,8.106999999999999318e+01
-9.554999999999999716e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.554999999999999716e+01,-6.719899999999999807e+01,8.155299999999999727e+01
-9.494899999999999807e+01,-6.794899999999999807e+01,8.179600000000000648e+01
-9.525000000000000000e+01,-6.809999999999999432e+01,8.252200000000000557e+01
-9.450000000000000000e+01,-6.825000000000000000e+01,8.203799999999999670e+01
-9.419899999999999807e+01,-6.704999999999999716e+01,8.155299999999999727e+01
-9.525000000000000000e+01,-6.794899999999999807e+01,8.179600000000000648e+01
-9.509999999999999432e+01,-6.765000000000000568e+01,8.131199999999999761e+01
-9.479999999999999716e+01,-6.734999999999999432e+01,8.131199999999999761e+01
