Bx_uT,By_uT,Bz_uT
6.359899999999999665e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.375000000000000000e+01,-3.734899999999999665e+01,-3.871999999999999886e+01
6.195000000000000284e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.678300000000000125e+01
6.209899999999999665e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.734899999999999665e+01,-3.896099999999999852e+01
6.254999999999999716e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.775200000000000244e+01
6.345000000000000284e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.270000000000000284e+01,-3.809899999999999665e+01,-3.629999999999999716e+01
6.284899999999999665e+01,-3.839999999999999858e+01,-3.799399999999999977e+01
6.345000000000000284e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.329999999999999716e+01,-3.734899999999999665e+01,-3.847800000000000153e+01
6.300000000000000000e+01,-3.839999999999999858e+01,-3.678300000000000125e+01
6.359899999999999665e+01,-3.764999999999999858e+01,-3.823599999999999710e+01
6.239999999999999858e+01,-3.750000000000000000e+01,-3.823599999999999710e+01
6.375000000000000000e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.225000000000000000e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.795000000000000284e+01,-3.702600000000000335e+01
6.314999999999999858e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.239999999999999858e+01,-3.764999999999999858e+01,-3.678300000000000125e+01
6.300000000000000000e+01,-3.734899999999999665e+01,-3.847800000000000153e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.775200000000000244e+01
6.225000000000000000e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.284899999999999665e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.239999999999999858e+01,-3.764999999999999858e+01,-3.726800000000000068e+01
6.345000000000000284e+01,-3.795000000000000284e+01,-3.871999999999999886e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.284899999999999665e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.300000000000000000e+01,-3.795000000000000284e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.809899999999999665e+01,-3.654099999999999682e+01
6.284899999999999665e+01,-3.704999999999999716e+01,-3.799399999999999977e+01
6.284899999999999665e+01,-3.795000000000000284e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.345000000000000284e+01,-3.764999999999999858e+01,-3.726800000000000068e+01
6.329999999999999716e+01,-3.704999999999999716e+01,-3.750999999999999801e+01
6.239999999999999858e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.300000000000000000e+01,-3.839999999999999858e+01,-3.871999999999999886e+01
6.329999999999999716e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.345000000000000284e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.300000000000000000e+01,-3.795000000000000284e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.871999999999999886e+01
6.300000000000000000e+01,-3.750000000000000000e+01,-3.823599999999999710e+01
6.300000000000000000e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.734899999999999665e+01,-3.871999999999999886e+01
6.209899999999999665e+01,-3.734899999999999665e+01,-3.678300000000000125e+01
6.254999999999999716e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.254999999999999716e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.720000000000000284e+01,-3.605799999999999983e+01
6.329999999999999716e+01,-3.795000000000000284e+01,-3.823599999999999710e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.678300000000000125e+01
6.345000000000000284e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.300000000000000000e+01,-3.675000000000000000e+01,-3.702600000000000335e+01
6.375000000000000000e+01,-3.750000000000000000e+01,-3.847800000000000153e+01
6.284899999999999665e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.359899999999999665e+01,-3.734899999999999665e+01,-3.799399999999999977e+01
6.300000000000000000e+01,-3.779999999999999716e+01,-3.896099999999999852e+01
6.314999999999999858e+01,-3.750000000000000000e+01,-3.678300000000000125e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.775200000000000244e+01
6.254999999999999716e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.329999999999999716e+01,-3.809899999999999665e+01,-3.750999999999999801e+01
6.329999999999999716e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.779999999999999716e+01,-3.702600000000000335e+01
6.389999999999999858e+01,-3.734899999999999665e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.779999999999999716e+01,-3.799399999999999977e+01
6.270000000000000284e+01,-3.854999999999999716e+01,-3.799399999999999977e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.871999999999999886e+01
6.300000000000000000e+01,-3.689999999999999858e+01,-3.847800000000000153e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.775200000000000244e+01
6.195000000000000284e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.225000000000000000e+01,-3.825000000000000000e+01,-3.750999999999999801e+01
6.359899999999999665e+01,-3.750000000000000000e+01,-3.847800000000000153e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.254999999999999716e+01,-3.764999999999999858e+01,-3.823599999999999710e+01
6.284899999999999665e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.284899999999999665e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.300000000000000000e+01,-3.795000000000000284e+01,-3.799399999999999977e+01
6.209899999999999665e+01,-3.825000000000000000e+01,-3.823599999999999710e+01
6.270000000000000284e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.702600000000000335e+01
6.270000000000000284e+01,-3.689999999999999858e+01,-3.702600000000000335e+01
6.209899999999999665e+01,-3.750000000000000000e+01,-3.847800000000000153e+01
6.270000000000000284e+01,-3.720000000000000284e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.734899999999999665e+01,-3.847800000000000153e+01
6.329999999999999716e+01,-3.704999999999999716e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.884899999999999665e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.764999999999999858e+01,-3.775200000000000244e+01
6.225000000000000000e+01,-3.884899999999999665e+01,-3.992900000000000205e+01
6.314999999999999858e+01,-3.809899999999999665e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.871999999999999886e+01
6.359899999999999665e+01,-3.750000000000000000e+01,-3.775200000000000244e+01
6.254999999999999716e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.254999999999999716e+01,-3.764999999999999858e+01,-3.847800000000000153e+01
6.225000000000000000e+01,-3.764999999999999858e+01,-3.775200000000000244e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.300000000000000000e+01,-3.764999999999999858e+01,-3.726800000000000068e+01
6.345000000000000284e+01,-3.734899999999999665e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.870000000000000284e+01,-3.775200000000000244e+01
6.314999999999999858e+01,-3.750000000000000000e+01,-3.775200000000000244e+01
6.314999999999999858e+01,-3.839999999999999858e+01,-3.775200000000000244e+01
6.300000000000000000e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.225000000000000000e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.239999999999999858e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.704999999999999716e+01,-3.750999999999999801e+01
6.239999999999999858e+01,-3.750000000000000000e+01,-3.823599999999999710e+01
6.284899999999999665e+01,-3.704999999999999716e+01,-3.847800000000000153e+01
6.254999999999999716e+01,-3.750000000000000000e+01,-3.702600000000000335e+01
6.300000000000000000e+01,-3.720000000000000284e+01,-3.726800000000000068e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.896099999999999852e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.871999999999999886e+01
6.329999999999999716e+01,-3.779999999999999716e+01,-3.678300000000000125e+01
6.225000000000000000e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.704999999999999716e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.734899999999999665e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.823599999999999710e+01
6.359899999999999665e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.225000000000000000e+01,-3.675000000000000000e+01,-3.750999999999999801e+01
6.179999999999999716e+01,-3.750000000000000000e+01,-3.896099999999999852e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.799399999999999977e+01
6.329999999999999716e+01,-3.734899999999999665e+01,-3.847800000000000153e+01
6.239999999999999858e+01,-3.734899999999999665e+01,-3.823599999999999710e+01
6.284899999999999665e+01,-3.659899999999999665e+01,-3.629999999999999716e+01
6.239999999999999858e+01,-3.689999999999999858e+01,-3.823599999999999710e+01
6.254999999999999716e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.329999999999999716e+01,-3.825000000000000000e+01,-3.750999999999999801e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.239999999999999858e+01,-3.779999999999999716e+01,-3.896099999999999852e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.209899999999999665e+01,-3.675000000000000000e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.825000000000000000e+01,-3.750999999999999801e+01
6.345000000000000284e+01,-3.854999999999999716e+01,-3.750999999999999801e+01
6.254999999999999716e+01,-3.720000000000000284e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.702600000000000335e+01
6.270000000000000284e+01,-3.809899999999999665e+01,-3.871999999999999886e+01
6.329999999999999716e+01,-3.734899999999999665e+01,-3.702600000000000335e+01
6.345000000000000284e+01,-3.720000000000000284e+01,-3.750999999999999801e+01
6.225000000000000000e+01,-3.734899999999999665e+01,-3.871999999999999886e+01
6.254999999999999716e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.225000000000000000e+01,-3.839999999999999858e+01,-3.775200000000000244e+01
6.300000000000000000e+01,-3.750000000000000000e+01,-3.823599999999999710e+01
6.329999999999999716e+01,-3.734899999999999665e+01,-3.823599999999999710e+01
6.300000000000000000e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.239999999999999858e+01,-3.809899999999999665e+01,-3.750999999999999801e+01
6.300000000000000000e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.254999999999999716e+01,-3.764999999999999858e+01,-3.871999999999999886e+01
6.225000000000000000e+01,-3.720000000000000284e+01,-3.726800000000000068e+01
6.254999999999999716e+01,-3.764999999999999858e+01,-3.799399999999999977e+01
6.284899999999999665e+01,-3.704999999999999716e+01,-3.823599999999999710e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.254999999999999716e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.654099999999999682e+01
6.314999999999999858e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.779999999999999716e+01,-3.678300000000000125e+01
6.209899999999999665e+01,-3.720000000000000284e+01,-3.823599999999999710e+01
6.284899999999999665e+01,-3.779999999999999716e+01,-3.871999999999999886e+01
6.270000000000000284e+01,-3.779999999999999716e+01,-3.823599999999999710e+01
6.329999999999999716e+01,-3.734899999999999665e+01,-3.944599999999999795e+01
6.345000000000000284e+01,-3.795000000000000284e+01,-3.823599999999999710e+01
6.239999999999999858e+01,-3.809899999999999665e+01,-3.871999999999999886e+01
6.329999999999999716e+01,-3.720000000000000284e+01,-3.775200000000000244e+01
6.300000000000000000e+01,-3.809899999999999665e+01,-3.775200000000000244e+01
6.284899999999999665e+01,-3.675000000000000000e+01,-3.750999999999999801e+01
6.239999999999999858e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.654099999999999682e+01
6.270000000000000284e+01,-3.839999999999999858e+01,-3.750999999999999801e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.702600000000000335e+01
6.225000000000000000e+01,-3.704999999999999716e+01,-3.871999999999999886e+01
6.179999999999999716e+01,-3.750000000000000000e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.225000000000000000e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.254999999999999716e+01,-3.750000000000000000e+01,-3.871999999999999886e+01
6.239999999999999858e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.314999999999999858e+01,-3.675000000000000000e+01,-3.847800000000000153e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.823599999999999710e+01
6.375000000000000000e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.225000000000000000e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.329999999999999716e+01,-3.764999999999999858e+01,-3.799399999999999977e+01
6.300000000000000000e+01,-3.764999999999999858e+01,-3.702600000000000335e+01
6.209899999999999665e+01,-3.689999999999999858e+01,-3.799399999999999977e+01
6.209899999999999665e+01,-3.720000000000000284e+01,-3.847800000000000153e+01
6.345000000000000284e+01,-3.795000000000000284e+01,-3.799399999999999977e+01
6.239999999999999858e+01,-3.734899999999999665e+01,-3.823599999999999710e+01
6.314999999999999858e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.689999999999999858e+01,-3.799399999999999977e+01
6.284899999999999665e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.689999999999999858e+01,-3.823599999999999710e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.847800000000000153e+01
6.270000000000000284e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.896099999999999852e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.329999999999999716e+01,-3.720000000000000284e+01,-3.799399999999999977e+01
6.314999999999999858e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.314999999999999858e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.404999999999999716e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.329999999999999716e+01,-3.809899999999999665e+01,-3.799399999999999977e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.726800000000000068e+01
6.300000000000000000e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.345000000000000284e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.300000000000000000e+01,-3.779999999999999716e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.847800000000000153e+01
6.239999999999999858e+01,-3.809899999999999665e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.702600000000000335e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.847800000000000153e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.799399999999999977e+01
6.225000000000000000e+01,-3.734899999999999665e+01,-3.847800000000000153e+01
6.314999999999999858e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.300000000000000000e+01,-3.704999999999999716e+01,-3.847800000000000153e+01
6.284899999999999665e+01,-3.795000000000000284e+01,-3.799399999999999977e+01
6.270000000000000284e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.795000000000000284e+01,-3.775200000000000244e+01
6.284899999999999665e+01,-3.825000000000000000e+01,-3.750999999999999801e+01
6.225000000000000000e+01,-3.764999999999999858e+01,-3.750999999999999801e+01
6.284899999999999665e+01,-3.704999999999999716e+01,-3.726800000000000068e+01
6.284899999999999665e+01,-3.764999999999999858e+01,-3.799399999999999977e+01
6.270000000000000284e+01,-3.659899999999999665e+01,-3.775200000000000244e+01
6.389999999999999858e+01,-3.779999999999999716e+01,-3.847800000000000153e+01
6.314999999999999858e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.345000000000000284e+01,-3.704999999999999716e+01,-3.799399999999999977e+01
6.329999999999999716e+01,-3.779999999999999716e+01,-3.629999999999999716e+01
6.300000000000000000e+01,-3.689999999999999858e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.720000000000000284e+01,-3.847800000000000153e+01
6.300000000000000000e+01,-3.704999999999999716e+01,-3.799399999999999977e+01
6.300000000000000000e+01,-3.795000000000000284e+01,-3.750999999999999801e+01
6.270000000000000284e+01,-3.779999999999999716e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.795000000000000284e+01,-3.726800000000000068e+01
6.239999999999999858e+01,-3.734899999999999665e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.839999999999999858e+01,-3.896099999999999852e+01
6.300000000000000000e+01,-3.764999999999999858e+01,-3.702600000000000335e+01
6.270000000000000284e+01,-3.704999999999999716e+01,-3.799399999999999977e+01
6.254999999999999716e+01,-3.764999999999999858e+01,-3.702600000000000335e+01
6.284899999999999665e+01,-3.720000000000000284e+01,-3.847800000000000153e+01
6.270000000000000284e+01,-3.734899999999999665e+01,-3.750999999999999801e+01
6.300000000000000000e+01,-3.809899999999999665e+01,-3.726800000000000068e+01
6.314999999999999858e+01,-3.825000000000000000e+01,-3.629999999999999716e+01
6.239999999999999858e+01,-3.734899999999999665e+01,-3.799399999999999977e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.345000000000000284e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.270000000000000284e+01,-3.734899999999999665e+01,-3.726800000000000068e+01
6.329999999999999716e+01,-3.750000000000000000e+01,-3.847800000000000153e+01
6.239999999999999858e+01,-3.750000000000000000e+01,-3.750999999999999801e+01
6.314999999999999858e+01,-3.734899999999999665e+01,-3.726800000000000068e+01
6.284899999999999665e+01,-3.795000000000000284e+01,-3.799399999999999977e+01
6.284899999999999665e+01,-3.704999999999999716e+01,-3.702600000000000335e+01
6.254999999999999716e+01,-3.689999999999999858e+01,-3.726800000000000068e+01
6.270000000000000284e+01,-3.750000000000000000e+01,-3.726800000000000068e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.799399999999999977e+01
6.300000000000000000e+01,-3.825000000000000000e+01,-3.726800000000000068e+01
6.254999999999999716e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.329999999999999716e+01,-3.720000000000000284e+01,-3.726800000000000068e+01
6.300000000000000000e+01,-3.734899999999999665e+01,-3.775200000000000244e+01
6.329999999999999716e+01,-3.779999999999999716e+01,-3.775200000000000244e+01
6.345000000000000284e+01,-3.704999999999999716e+01,-3.750999999999999801e+01
6.195000000000000284e+01,-3.809899999999999665e+01,-3.654099999999999682e+01
6.284899999999999665e+01,-3.750000000000000000e+01,-3.896099999999999852e+01
6.225000000000000000e+01,-3.764999999999999858e+01,-3.823599999999999710e+01
6.239999999999999858e+01,-3.734899999999999665e+01,-3.726800000000000068e+01
